Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SW-LOGIN,Chrome 115.0.0.0,,,2023-08-08 20:20:55,2023-08-08 20:21:36,41.581s,PASSED
,,,,,,,
Test Cases/Website/SW02 Login/SW-LOG01,Chrome 115.0.0.0,,,2023-08-08 20:20:55,2023-08-08 20:21:07,12.408s,PASSED
"openBrowser(""https://demo-app.online/"")",Chrome 115.0.0.0,,,2023-08-08 20:20:55,2023-08-08 20:21:00,4.619s,PASSED
maximizeWindow(),Chrome 115.0.0.0,Maximize current window,,2023-08-08 20:21:00,2023-08-08 20:21:00,0.135s,PASSED
"click(findTestObject(""Object Repository/Web - Login/Page_Be a Profressional Talent with Coding.ID/a_Masuk""))",Chrome 115.0.0.0,,,2023-08-08 20:21:00,2023-08-08 20:21:01,1.121s,PASSED
"setText(findTestObject(""Object Repository/Web - Login/Page_Masuk untuk dapatkan akses di Coding.ID/input_Email_email""), isya_katalon_email)",Chrome 115.0.0.0,,,2023-08-08 20:21:01,2023-08-08 20:21:02,1.464s,PASSED
"setText(findTestObject(""Object Repository/Web - Login/Page_Masuk untuk dapatkan akses di Coding.ID/input_Kata                                 _98da12""), isya_katalon_password)",Chrome 115.0.0.0,,,2023-08-08 20:21:02,2023-08-08 20:21:03,0.737s,PASSED
"click(findTestObject(""Object Repository/Web - Login/Page_Masuk untuk dapatkan akses di Coding.ID/button_Login""))",Chrome 115.0.0.0,,,2023-08-08 20:21:03,2023-08-08 20:21:05,1.935s,PASSED
"click(findTestObject(""Object Repository/Web - Login/Page_Be a Profressional Talent with Coding.ID/i_Kontak_fas fa-user-alt""))",Chrome 115.0.0.0,,,2023-08-08 20:21:05,2023-08-08 20:21:06,1.029s,PASSED
takeScreenshot(),Chrome 115.0.0.0,,,2023-08-08 20:21:06,2023-08-08 20:21:07,0.588s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-08 20:21:07,2023-08-08 20:21:07,0.601s,PASSED
,,,,,,,
Test Cases/Website/SW02 Login/SW-LOG03,Chrome 115.0.0.0,,,2023-08-08 20:21:07,2023-08-08 20:21:15,7.629s,PASSED
"openBrowser(""https://demo-app.online/"")",Chrome 115.0.0.0,,,2023-08-08 20:21:07,2023-08-08 20:21:10,2.223s,PASSED
maximizeWindow(),Chrome 115.0.0.0,Maximize current window,,2023-08-08 20:21:10,2023-08-08 20:21:10,0.139s,PASSED
"click(findTestObject(""Object Repository/Web - Login/Page_Be a Profressional Talent with Coding.ID/a_Masuk""))",Chrome 115.0.0.0,,,2023-08-08 20:21:10,2023-08-08 20:21:11,0.898s,PASSED
"setText(findTestObject(""Object Repository/Web - Login/Page_Masuk untuk dapatkan akses di Coding.ID/input_Email_email""), ""isya.katalon17@gmail.com"")",Chrome 115.0.0.0,,,2023-08-08 20:21:11,2023-08-08 20:21:12,0.894s,PASSED
"setText(findTestObject(""Object Repository/Web - Login/Page_Masuk untuk dapatkan akses di Coding.ID/input_Kata                                 _98da12""), ""password17"")",Chrome 115.0.0.0,,,2023-08-08 20:21:12,2023-08-08 20:21:12,0.731s,PASSED
"click(findTestObject(""Object Repository/Web - Login/Page_Masuk untuk dapatkan akses di Coding.ID/button_Login""))",Chrome 115.0.0.0,,,2023-08-08 20:21:12,2023-08-08 20:21:13,1.039s,PASSED
"verifyElementText(findTestObject(""Web - Login/Page_Masuk untuk dapatkan akses di Coding.ID/small_Email atau kata sandi salah""), ""Email atau kata sandi salah"")",Chrome 115.0.0.0,,,2023-08-08 20:21:13,2023-08-08 20:21:14,0.646s,PASSED
takeScreenshot(),Chrome 115.0.0.0,,,2023-08-08 20:21:14,2023-08-08 20:21:14,0.361s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-08 20:21:14,2023-08-08 20:21:15,0.570s,PASSED
,,,,,,,
Test Cases/Website/SW02 Login/SW-LOG04,Chrome 115.0.0.0,,,2023-08-08 20:21:15,2023-08-08 20:21:22,7.380s,PASSED
"openBrowser(""https://demo-app.online/"")",Chrome 115.0.0.0,,,2023-08-08 20:21:15,2023-08-08 20:21:18,2.684s,PASSED
maximizeWindow(),Chrome 115.0.0.0,Maximize current window,,2023-08-08 20:21:18,2023-08-08 20:21:18,0.125s,PASSED
"click(findTestObject(""Object Repository/Web - Login/Page_Be a Profressional Talent with Coding.ID/a_Masuk""))",Chrome 115.0.0.0,,,2023-08-08 20:21:18,2023-08-08 20:21:19,0.969s,PASSED
"setText(findTestObject(""Object Repository/Web - Login/Page_Masuk untuk dapatkan akses di Coding.ID/input_Email_email""), ""isya"")",Chrome 115.0.0.0,,,2023-08-08 20:21:19,2023-08-08 20:21:20,1.046s,PASSED
"setText(findTestObject(""Web - Login/Page_Masuk untuk dapatkan akses di Coding.ID/input_Kata                                 _98da12""), ""password"")",Chrome 115.0.0.0,,,2023-08-08 20:21:20,2023-08-08 20:21:21,0.745s,PASSED
"click(findTestObject(""Object Repository/Web - Login/Page_Masuk untuk dapatkan akses di Coding.ID/button_Login""))",Chrome 115.0.0.0,,,2023-08-08 20:21:21,2023-08-08 20:21:21,0.402s,PASSED
"verifyMatch(getAttribute(findTestObject(""Object Repository/Web - Login/Page_Masuk untuk dapatkan akses di Coding.ID/input_Email_email""), ""validationMessage""), ""Please include an '@' in the email address.*"", true)",Chrome 115.0.0.0,,,2023-08-08 20:21:21,2023-08-08 20:21:21,0.319s,PASSED
takeScreenshot(),Chrome 115.0.0.0,,,2023-08-08 20:21:21,2023-08-08 20:21:22,0.378s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-08 20:21:22,2023-08-08 20:21:22,0.579s,PASSED
,,,,,,,
