Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SW-Flow Beli Event,Chrome 115.0.0.0,,,2023-08-13 12:08:06,2023-08-13 12:12:44,4m - 37.655s,PASSED
,,,,,,,
Test Cases/Website/SW-Flow Beli Event/SW-BE01 (dummy1),Chrome 115.0.0.0,,,2023-08-13 12:08:07,2023-08-13 12:08:41,33.922s,PASSED
"openBrowser(""https://demo-app.online/"")",Chrome 115.0.0.0,,,2023-08-13 12:08:07,2023-08-13 12:08:14,7.172s,PASSED
maximizeWindow(),Chrome 115.0.0.0,Maximize current window,,2023-08-13 12:08:14,2023-08-13 12:08:14,0.180s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE01/Page_Be a Profressional Talent with Coding.ID/a_Masuk""))",Chrome 115.0.0.0,,,2023-08-13 12:08:14,2023-08-13 12:08:15,0.914s,PASSED
"setText(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE01/Page_Masuk untuk dapatkan akses di Coding.ID/input_Email_email""), ""vasif72009@weishu8.com"")",Chrome 115.0.0.0,,,2023-08-13 12:08:15,2023-08-13 12:08:16,1.107s,PASSED
"setText(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE01/Page_Masuk untuk dapatkan akses di Coding.ID/input_Kata                                 _98da12""), ""password"")",Chrome 115.0.0.0,,,2023-08-13 12:08:16,2023-08-13 12:08:17,0.887s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE01/Page_Masuk untuk dapatkan akses di Coding.ID/button_Login""))",Chrome 115.0.0.0,,,2023-08-13 12:08:17,2023-08-13 12:08:18,0.995s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE01/Page_Be a Profressional Talent with Coding.ID/a_Events""))",Chrome 115.0.0.0,,,2023-08-13 12:08:18,2023-08-13 12:08:19,1.059s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE01/Page_Online event bersertifikat dari prakti_f42b96/div_Day 3 Predict using Machine Learning   _e04a14""))",Chrome 115.0.0.0,,,2023-08-13 12:08:19,2023-08-13 12:08:21,1.420s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE01/Page_Day 3 Predict using Machine Learning - Ziyad/a_Beli Tiket""))",Chrome 115.0.0.0,,,2023-08-13 12:08:21,2023-08-13 12:08:21,0.698s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE01/Page_Day 3 Predict using Machine Learning - Ziyad/a_Lihat                Pembelian Saya""))",Chrome 115.0.0.0,,,2023-08-13 12:08:21,2023-08-13 12:08:26,4.872s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE01/Page_Coding.ID - Cart/button_Checkout""))",Chrome 115.0.0.0,,,2023-08-13 12:08:26,2023-08-13 12:08:27,0.901s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE01/Page_Coding.ID - Cart/input_Total Pembayaran_payment_method""))",Chrome 115.0.0.0,,,2023-08-13 12:08:27,2023-08-13 12:08:28,0.916s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE01/Page_Coding.ID - Cart/button_Confirm""))",Chrome 115.0.0.0,,,2023-08-13 12:08:28,2023-08-13 12:08:28,0.573s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE01/Page_Coding.ID - Cart/a_Bank transfer1""))",Chrome 115.0.0.0,,,2023-08-13 12:08:28,2023-08-13 12:08:30,1.342s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE01/Page_Coding.ID - Cart/div_BNI""))",Chrome 115.0.0.0,,,2023-08-13 12:08:30,2023-08-13 12:08:31,1.058s,PASSED
delay(5),Chrome 115.0.0.0,,,2023-08-13 12:08:31,2023-08-13 12:08:36,5.076s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE01/Page_Coding.ID - Cart/button_Back to merchant""))",Chrome 115.0.0.0,,,2023-08-13 12:08:36,2023-08-13 12:08:37,0.999s,PASSED
"getText(findTestObject(""Web - Flow Beli Event/SW-BE01/Page_Coding.ID - Invoice/h5_Invoice                            EVN10_1958af""))",Chrome 115.0.0.0,,,2023-08-13 12:08:37,2023-08-13 12:08:39,1.832s,PASSED
"verifyElementText(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE01/Page_Coding.ID - Invoice/span_PAYMENT IS BEING PROCESSED""), ""PAYMENT IS BEING PROCESSED"")",Chrome 115.0.0.0,,,2023-08-13 12:08:39,2023-08-13 12:08:39,0.463s,PASSED
takeScreenshot(),Chrome 115.0.0.0,,,2023-08-13 12:08:39,2023-08-13 12:08:40,0.584s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-13 12:08:40,2023-08-13 12:08:41,0.684s,PASSED
,,,,,,,
Test Cases/Website/SW-Flow Beli Event/SW-BE02 (dummy1),Chrome 115.0.0.0,,,2023-08-13 12:08:41,2023-08-13 12:09:06,25.898s,PASSED
"openBrowser(""https://demo-app.online/"")",Chrome 115.0.0.0,,,2023-08-13 12:08:41,2023-08-13 12:08:46,5.115s,PASSED
maximizeWindow(),Chrome 115.0.0.0,Maximize current window,,2023-08-13 12:08:46,2023-08-13 12:08:46,0.149s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE02/Page_Be a Profressional Talent with Coding.ID/a_Masuk""))",Chrome 115.0.0.0,,,2023-08-13 12:08:46,2023-08-13 12:08:47,1.127s,PASSED
"setText(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE02/Page_Masuk untuk dapatkan akses di Coding.ID/input_Email_email""), ""vasif72009@weishu8.com"")",Chrome 115.0.0.0,,,2023-08-13 12:08:47,2023-08-13 12:08:48,1.006s,PASSED
"setText(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE02/Page_Masuk untuk dapatkan akses di Coding.ID/input_Kata                                 _98da12""), ""password"")",Chrome 115.0.0.0,,,2023-08-13 12:08:48,2023-08-13 12:08:49,0.843s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE02/Page_Masuk untuk dapatkan akses di Coding.ID/button_Login""))",Chrome 115.0.0.0,,,2023-08-13 12:08:49,2023-08-13 12:08:50,1.024s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE02/Page_Be a Profressional Talent with Coding.ID/a_Events""))",Chrome 115.0.0.0,,,2023-08-13 12:08:50,2023-08-13 12:08:51,1.279s,PASSED
"click(findTestObject(""Web - Flow Beli Event/Capture/div_Day 4 Workshop   Wi""))",Chrome 115.0.0.0,,,2023-08-13 12:08:51,2023-08-13 12:08:53,1.146s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE02/Page_Day 3 Predict using Machine Learning - Ziyad/a_Beli Tiket""))",Chrome 115.0.0.0,,,2023-08-13 12:08:53,2023-08-13 12:08:53,0.823s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE02/Page_Day 3 Predict using Machine Learning - Ziyad/a_Lihat                Pembelian Saya""))",Chrome 115.0.0.0,,,2023-08-13 12:08:53,2023-08-13 12:08:55,1.448s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE02/Page_Coding.ID - Cart/button_Checkout""))",Chrome 115.0.0.0,,,2023-08-13 12:08:55,2023-08-13 12:08:56,0.760s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE02/Page_Coding.ID - Cart/input_Total Pembayaran_payment_method""))",Chrome 115.0.0.0,,,2023-08-13 12:08:56,2023-08-13 12:08:56,0.884s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE02/Page_Coding.ID - Cart/button_Confirm""))",Chrome 115.0.0.0,,,2023-08-13 12:08:56,2023-08-13 12:08:57,0.616s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE02/Page_Coding.ID - Cart/a_ShopeePay""))",Chrome 115.0.0.0,,,2023-08-13 12:08:57,2023-08-13 12:08:58,1.022s,PASSED
"verifyElementText(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE02/Page_Coding.ID - Cart/span_ShopeePay""), ""ShopeePay"")",Chrome 115.0.0.0,,,2023-08-13 12:08:58,2023-08-13 12:08:59,0.515s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-13 12:08:59,2023-08-13 12:09:02,3.014s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE02/Page_Coding.ID - Cart/button_Back to merchant""))",Chrome 115.0.0.0,,,2023-08-13 12:09:02,2023-08-13 12:09:03,1.065s,PASSED
"getText(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE02/Page_Coding.ID - Invoice/h5_Invoice                            EVN11_ed9f16""))",Chrome 115.0.0.0,,,2023-08-13 12:09:03,2023-08-13 12:09:05,2.070s,PASSED
"verifyElementText(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE02/Page_Coding.ID - Invoice/span_PAYMENT IS BEING PROCESSED""), ""PAYMENT IS BEING PROCESSED"")",Chrome 115.0.0.0,,,2023-08-13 12:09:05,2023-08-13 12:09:05,0.453s,PASSED
takeScreenshot(),Chrome 115.0.0.0,,,2023-08-13 12:09:05,2023-08-13 12:09:06,0.534s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-13 12:09:06,2023-08-13 12:09:06,0.712s,PASSED
,,,,,,,
Test Cases/Website/SW-Flow Beli Event/SW-BE03 (dummy2),Chrome 115.0.0.0,,,2023-08-13 12:09:06,2023-08-13 12:09:33,26.223s,PASSED
"openBrowser(""https://demo-app.online/"")",Chrome 115.0.0.0,,,2023-08-13 12:09:07,2023-08-13 12:09:10,3.590s,PASSED
maximizeWindow(),Chrome 115.0.0.0,Maximize current window,,2023-08-13 12:09:10,2023-08-13 12:09:11,0.182s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE03/Page_Be a Profressional Talent with Coding.ID/a_Masuk""))",Chrome 115.0.0.0,,,2023-08-13 12:09:11,2023-08-13 12:09:12,0.969s,PASSED
"setText(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE03/Page_Masuk untuk dapatkan akses di Coding.ID/input_Email_email""), ""kelageg243@v1zw.com"")",Chrome 115.0.0.0,,,2023-08-13 12:09:12,2023-08-13 12:09:13,1.128s,PASSED
"setText(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE03/Page_Masuk untuk dapatkan akses di Coding.ID/input_Kata                                 _98da12""), ""password"")",Chrome 115.0.0.0,,,2023-08-13 12:09:13,2023-08-13 12:09:14,0.894s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE03/Page_Masuk untuk dapatkan akses di Coding.ID/button_Login""))",Chrome 115.0.0.0,,,2023-08-13 12:09:14,2023-08-13 12:09:15,0.924s,PASSED
"click(findTestObject(""Object Repository/Web - Flow Beli Event/SW-BE03/Page_Be a Profressional Talent with Coding.ID/a_Events""))",Chrome 115.0.0.0,,,2023-08-13 12:09:15,2023-08-13 12:09:16,1.251s,PASSED
